date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:49:31	118259/118259	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225c88ad15-1cdf3%22	http://lifeinsys.com/item/malena/resources/fonts/opensans/OpenSans-Bold-webfont.svg	C:/My%20Web%20Sites/Malena-Ligth/lifeinsys.com/item/malena/resources/fonts/opensans/OpenSans-Bold-webfont.svg	(from http://lifeinsys.com/item/malena/resources/fonts/opensans/stylesheet.css)
16:49:35	19329/19329	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225c88ad16-4b81%22	http://lifeinsys.com/item/malena/resources/fonts/opensans/opensans-light-webfont.eot	C:/My%20Web%20Sites/Malena-Ligth/lifeinsys.com/item/malena/resources/fonts/opensans/opensans-light-webfont.eot	(from http://lifeinsys.com/item/malena/resources/fonts/opensans/stylesheet.css)
16:49:35	38452/38452	---M--	200	added ('OK')	application/octet-stream	etag:%225c88ad14-9634%22	http://lifeinsys.com/item/malena/resources/fonts/opensans/OpenSans-Bold-webfont.ttf	C:/My%20Web%20Sites/Malena-Ligth/lifeinsys.com/item/malena/resources/fonts/opensans/OpenSans-Bold-webfont.ttf	(from http://lifeinsys.com/item/malena/resources/fonts/opensans/stylesheet.css)
16:49:40	19329/19329	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225c88ad16-4b81%22	http://lifeinsys.com/item/malena/resources/fonts/opensans/opensans-light-webfont.eot?	C:/My%20Web%20Sites/Malena-Ligth/lifeinsys.com/item/malena/resources/fonts/opensans/opensans-light-webfontd41d.eot	(from http://lifeinsys.com/item/malena/resources/fonts/opensans/stylesheet.css)
16:49:40	22880/22880	---MCZ	200	added ('OK')	application/font-woff	etag:W/%225c88ad17-5960%22	http://lifeinsys.com/item/malena/resources/fonts/opensans/opensans-light-webfont.woff	C:/My%20Web%20Sites/Malena-Ligth/lifeinsys.com/item/malena/resources/fonts/opensans/opensans-light-webfont.woff	(from http://lifeinsys.com/item/malena/resources/fonts/opensans/stylesheet.css)
16:49:42	55453/55453	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225c88ad19-d89d%22	http://lifeinsys.com/item/malena/resources/fonts/opensans/opensans-light-webfont.svg	C:/My%20Web%20Sites/Malena-Ligth/lifeinsys.com/item/malena/resources/fonts/opensans/opensans-light-webfont.svg	(from http://lifeinsys.com/item/malena/resources/fonts/opensans/stylesheet.css)
16:49:46	19882/19882	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225c88ad1a-4daa%22	http://lifeinsys.com/item/malena/resources/fonts/opensans/opensans-regular-webfont.eot	C:/My%20Web%20Sites/Malena-Ligth/lifeinsys.com/item/malena/resources/fonts/opensans/opensans-regular-webfont.eot	(from http://lifeinsys.com/item/malena/resources/fonts/opensans/stylesheet.css)
16:49:47	41956/41956	---M--	200	added ('OK')	application/octet-stream	etag:%225c88ad18-a3e4%22	http://lifeinsys.com/item/malena/resources/fonts/opensans/opensans-light-webfont.ttf	C:/My%20Web%20Sites/Malena-Ligth/lifeinsys.com/item/malena/resources/fonts/opensans/opensans-light-webfont.ttf	(from http://lifeinsys.com/item/malena/resources/fonts/opensans/stylesheet.css)
16:49:51	19882/19882	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225c88ad1a-4daa%22	http://lifeinsys.com/item/malena/resources/fonts/opensans/opensans-regular-webfont.eot?	C:/My%20Web%20Sites/Malena-Ligth/lifeinsys.com/item/malena/resources/fonts/opensans/opensans-regular-webfontd41d.eot	(from http://lifeinsys.com/item/malena/resources/fonts/opensans/stylesheet.css)
16:49:51	23520/23520	---MCZ	200	added ('OK')	application/font-woff	etag:W/%225c88ad1b-5be0%22	http://lifeinsys.com/item/malena/resources/fonts/opensans/opensans-regular-webfont.woff	C:/My%20Web%20Sites/Malena-Ligth/lifeinsys.com/item/malena/resources/fonts/opensans/opensans-regular-webfont.woff	(from http://lifeinsys.com/item/malena/resources/fonts/opensans/stylesheet.css)
